Name,ObjectID,ObjectName,InitialStateID
OBJ_01_001,OBJ_01_001,첫째 형 돌 사진,STATE_01_001_DUST
OBJ_01_002,OBJ_01_002,여동생과 노는 일상사진,STATE_01_002_DUST
OBJ_01_003,OBJ_01_003,가족 사진,STATE_01_003_DUST
OBJ_01_004,OBJ_01_004,일기장,STATE_01_004_CLOSED
OBJ_01_005,OBJ_01_005,고데기,STATE_01_005_FRONT
OBJ_01_006,OBJ_01_006,창문,STATE_01_006_NORMAL
OBJ_01_007,OBJ_01_007,커튼,STATE_01_007_NORMAL
OBJ_01_008,OBJ_01_008,커튼 봉,STATE_01_008_NORMAL
OBJ_01_009,OBJ_01_009,발자국,STATE_01_009_NORMAL
OBJ_01_010,OBJ_01_010,스노우그로브,STATE_01_010_NORMAL
OBJ_01_011,OBJ_01_011,화장품,STATE_01_011_NORMAL
OBJ_01_012,OBJ_01_012,책,STATE_01_012_NORMAL
OBJ_01_013,OBJ_01_013,베개,STATE_01_013_NORMAL
OBJ_01_014,OBJ_01_014,방문,STATE_01_014_CLOSED
