Name,ChoiceID,KeywordDocumentID,DisplayText,GrantedWordID,SortOrder
CHOICE_01_001,CHOICE_01_001,KEYDOC_01_001,엄마와,WORD_01_004,1
CHOICE_01_002,CHOICE_01_002,KEYDOC_01_001,다투었다.,WORD_01_005,2
CHOICE_01_003,CHOICE_01_003,KEYDOC_01_002,구름,WORD_01_014,3
CHOICE_01_004,CHOICE_01_004,KEYDOC_01_003,맑음,WORD_01_015,4
CHOICE_01_005,CHOICE_01_005,KEYDOC_01_004,빛이,WORD_01_016,5
CHOICE_01_006,CHOICE_01_006,KEYDOC_01_004,화재가,WORD_01_017,6
CHOICE_01_007,CHOICE_01_007,KEYDOC_01_005,소방관,WORD_01_018,7
CHOICE_01_008,CHOICE_01_008,KEYDOC_01_006,발화로,WORD_01_019,8
CHOICE_01_009,CHOICE_01_009,KEYDOC_01_006,전소되었습니다.,WORD_01_020,9
CHOICE_01_010,CHOICE_01_010,KEYDOC_01_007,방지하기,WORD_01_021,10
CHOICE_01_011,CHOICE_01_011,KEYDOC_01_008,파손,WORD_01_022,11
,,,,,
