Name,KeywordDocumentID,DocumentText
KEYDOC_01_001,KEYDOC_01_001,오늘 엄마와 오빠가 심하게 다투었다.
KEYDOC_01_002,KEYDOC_01_002,구름
KEYDOC_01_003,KEYDOC_01_003,맑음
KEYDOC_01_004,KEYDOC_01_004,유리 조형물에 빛이 굴절되어 한 지점에 집중되면서 화재가 일어날 수 있습니다.
KEYDOC_01_005,KEYDOC_01_005,소방관 기술 경연 대회에서 우승한 oo대원
KEYDOC_01_006,KEYDOC_01_006,원인 모를 발화로 인해 집 전체가 전소되었습니다.
KEYDOC_01_007,KEYDOC_01_007,해당 기기는 화재를 방지하기 위해 자동 전원 차단 기능이 있습니다.
KEYDOC_01_008,KEYDOC_01_008,주의! 해당 제품은 파손 위험이 있으니 높은 곳에 두지 마십시오.
KEYDOC_01_009,KEYDOC_01_009,딸! 디퓨저 꺼놨다. 불 날 수 있으니 조심하렴. -엄마-
KEYDOC_01_010,KEYDOC_01_010,옷 사놓았으니 한번 입어봐라 -엄마-
KEYDOC_01_011,KEYDOC_01_011,방 청소하고 간식 사놓았으니 먹어라 -엄마-
KEYDOC_01_012,KEYDOC_01_012,네가 사고 싶은 책 주문해 놓았다. -엄마-
